scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
swing-breakout-strategy-quant-core	4h	ETHUSD	4	2	-14.99	0.619	-0.179	-16.92	1	333
swing-breakout-strategy-quant-core	4h	SOLUSD	6	3	-1.64	0.969	-0.018	-6.09	2	333
mcginley-t3-flow-campaign-nick789-v-1	15m	VVVUSD	74	42	313.28	1.477	0.202	59.98	5	42
take-liquidity-multi-time-frame-tradesystem	1h	1000PEPEUSD	117	48	-251.14	0.775	-0.114	-438.21	3	125
swing-breakout-strategy-quant-core	4h	ZECUSD	10	8	308.11	8.356	1.517	298.71	4	333
take-liquidity-multi-time-frame-tradesystem	4h	AKEUSD	1	1	19.24	99.000	1.891	19.16	1	63
take-liquidity-multi-time-frame-tradesystem	1h	ETCUSD	100	41	-208.43	0.780	-0.106	-380.26	4	125
smart-grid-scalping-pullback-strategy-bullbyte	1h	BTCUSD	47	18	-218.07	0.249	-0.267	-280.40	3	125
swing-breakout-strategy-quant-core	4h	AAVEUSD	7	3	-35.21	0.507	-0.272	-29.94	2	333
structure-anchored-vwap	15m	TAOUSD	12	8	197.53	3.133	0.787	146.99	4	42
swing-breakout-strategy-quant-core	4h	NEARUSD	5	2	42.47	1.719	0.452	39.05	2	333
take-liquidity-multi-time-frame-tradesystem	1h	WIFUSD	96	46	-43.55	0.950	-0.011	-259.20	4	125
take-liquidity-multi-time-frame-tradesystem	15m	AVAXUSD	17	11	56.63	1.568	0.170	13.49	6	42
swing-breakout-strategy-quant-core	4h	FILUSD	3	0	-58.14	0.000	-0.990	-58.16	0	333
take-liquidity-multi-time-frame-tradesystem	1h	DOGEUSD	72	32	-205.36	0.673	-0.153	-260.57	4	125
swing-breakout-strategy-quant-core	4h	SUIUSD	6	3	-33.03	0.445	-0.274	-61.84	1	333
swing-breakout-strategy-quant-core	4h	UNIUSD	5	3	-0.67	0.983	0.001	-2.89	1	333
take-liquidity-multi-time-frame-tradesystem	1h	ETHUSD	72	29	-322.39	0.479	-0.265	-393.42	3	125
structure-anchored-vwap	15m	EVAAUSD	10	9	228.77	12.095	1.068	188.11	5	42
swing-breakout-strategy-quant-core	4h	HYPEUSD	8	7	277.39	13.474	1.594	261.11	4	333
smart-grid-scalping-pullback-strategy-bullbyte	1h	TAOUSD	33	18	12.02	1.063	0.024	-25.83	4	125
swing-breakout-strategy-quant-core	4h	VVVUSD	13	7	0.77	1.007	0.004	-5.14	3	333
take-liquidity-multi-time-frame-tradesystem	1h	SOLUSD	79	29	-261.94	0.613	-0.188	-375.54	4	125
swing-breakout-strategy-quant-core	4h	XRPUSD	6	0	-113.18	0.000	-0.992	-113.25	0	333
take-liquidity-multi-time-frame-tradesystem	1h	ZECUSD	77	31	-136.61	0.800	-0.091	-229.34	4	125
take-liquidity-multi-time-frame-tradesystem	15m	MUBARAKUSD	14	5	-80.41	0.526	-0.290	-86.96	3	42
swing-breakout-strategy-quant-core	4h	BTCUSD	3	1	-30.14	0.200	-0.524	-20.87	1	333
