scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
pulse-trend-radar	15m	ETCUSD	130	60	-50.03	0.963	-0.006	-300.52	3	125
dynamic-trend-bands-anchored-vwap-signals	15m	FILUSD	60	34	302.07	1.603	0.238	31.06	5	125
pulse-trend-radar	1h	HYPEUSD	96	46	-26.65	0.972	-0.001	-148.69	4	250
dynamic-trend-bands-anchored-vwap-signals	1h	ZECUSD	97	45	534.28	1.431	0.255	211.78	5	250
dynamic-trend-bands-anchored-vwap-signals	1h	AKEUSD	37	14	-97.48	0.740	-0.133	-122.84	3	63
dynamic-trend-bands-anchored-vwap-signals	1h	ETHUSD	77	37	-70.73	0.908	-0.034	-190.42	3	250
mirage-liquidity-sweep-pro	1h	HYPEUSD	26	14	-52.74	0.771	-0.097	-89.34	3	250
pulse-trend-radar	1h	EVAAUSD	122	59	200.90	1.147	0.090	121.54	5	250
dynamic-trend-bands-anchored-vwap-signals	15m	SOLUSD	117	61	-115.88	0.892	-0.040	-408.47	3	125
dynamic-trend-bands-anchored-vwap-signals	1h	AVAXUSD	64	25	-337.15	0.463	-0.314	-381.82	1	250
mirage-liquidity-sweep-pro	15m	AVAXUSD	27	16	163.04	1.729	0.298	22.11	7	125
dynamic-trend-bands-anchored-vwap-signals	1h	LINKUSD	79	39	-40.86	0.952	-0.014	-105.16	4	250
pulse-trend-radar	15m	WIFUSD	239	111	601.06	1.151	0.114	-145.24	4	125
pulse-trend-radar	1h	SAGAUSD	128	51	-341.88	0.694	-0.151	-409.06	2	250
dynamic-trend-bands-anchored-vwap-signals	1h	XRPUSD	51	24	-181.91	0.613	-0.188	-170.87	4	250
mirage-liquidity-sweep-pro	1h	EVAAUSD	23	14	226.63	2.136	0.472	301.98	6	250
dynamic-trend-bands-anchored-vwap-signals	1h	DOGEUSD	58	28	-78.83	0.868	-0.058	-218.15	3	250
dynamic-trend-bands-anchored-vwap-signals	15m	UNIUSD	173	86	62.15	1.042	0.034	-346.76	4	125
structure-anchored-vwap	15m	SUIUSD	33	22	291.94	2.176	0.406	120.68	3	125
pulse-trend-radar	1h	MUBARAKUSD	129	61	-50.31	0.957	-0.007	-172.03	3	250
dynamic-trend-bands-anchored-vwap-signals	1h	SUIUSD	70	31	-178.97	0.760	-0.130	-303.76	3	250
dynamic-trend-bands-anchored-vwap-signals	1h	NEARUSD	73	38	60.37	1.091	0.053	-115.27	5	250
pulse-trend-radar	1h	1000PEPEUSD	121	66	248.58	1.228	0.104	41.64	5	250
dynamic-trend-bands-anchored-vwap-signals	15m	PIEVERSEUSD	93	47	811.01	1.653	0.350	449.47	7	125
dynamic-trend-bands-anchored-vwap-signals	1h	AAVEUSD	62	22	-253.08	0.626	-0.235	-302.29	3	250
pulse-trend-radar	15m	TAOUSD	254	108	-654.52	0.569	-0.200	-782.29	2	125
mirage-liquidity-sweep-pro	1h	SAGAUSD	17	5	-81.31	0.646	-0.233	-93.09	2	250
dynamic-trend-bands-anchored-vwap-signals	1h	BNBUSD	80	34	-335.84	0.552	-0.253	-478.34	4	250
pulse-trend-radar	1h	COOKIEUSD	187	88	67.97	1.036	0.032	-207.82	5	250
dynamic-trend-bands-anchored-vwap-signals	1h	ETCUSD	60	20	-362.77	0.440	-0.363	-396.01	1	250
dynamic-trend-bands-anchored-vwap-signals	15m	ZECUSD	187	95	-233.10	0.833	-0.060	-374.73	3	125
dynamic-trend-bands-anchored-vwap-signals	1h	WIFUSD	73	32	-192.96	0.744	-0.134	-252.21	3	250
pulse-trend-radar	1h	AINUSD	145	63	10.54	1.007	0.019	-199.81	5	250
dynamic-trend-bands-anchored-vwap-signals	15m	AKEUSD	58	31	249.19	1.410	0.236	184.26	5	63
mirage-liquidity-sweep-pro	15m	LINKUSD	32	19	73.45	1.273	0.120	-61.25	5	125
dynamic-trend-bands-anchored-vwap-signals	1h	TAOUSD	84	36	-293.86	0.659	-0.196	-419.18	2	250
structure-anchored-vwap	15m	NEARUSD	38	28	341.06	2.465	0.398	219.93	8	125
mirage-liquidity-sweep-pro	1h	MUBARAKUSD	20	5	-174.46	0.275	-0.471	-160.43	1	250
dynamic-trend-bands-anchored-vwap-signals	1h	HYPEUSD	98	49	-124.34	0.853	-0.056	-268.22	2	250
pulse-trend-radar	15m	HYPEUSD	190	92	-320.10	0.807	-0.092	-465.96	1	125
pulse-trend-radar	1h	BCHUSD	112	58	275.00	1.206	0.123	80.29	7	250
dynamic-trend-bands-anchored-vwap-signals	1h	EVAAUSD	76	32	-139.31	0.832	-0.082	-215.66	5	250
dynamic-trend-bands-anchored-vwap-signals	1h	SAGAUSD	61	29	-91.94	0.841	-0.067	-165.03	4	250
dynamic-trend-bands-anchored-vwap-signals	15m	ETHUSD	89	46	-136.90	0.827	-0.070	-365.51	4	125
pulse-trend-radar	1h	VVVUSD	124	55	-249.10	0.788	-0.108	-298.41	3	250
dynamic-trend-bands-anchored-vwap-signals	1h	MUBARAKUSD	86	32	-328.06	0.633	-0.217	-363.91	1	250
dynamic-trend-bands-anchored-vwap-signals	4h	BTCUSD	56	22	-242.25	0.574	-0.248	-270.95	2	666
dynamic-trend-bands-anchored-vwap-signals	4h	FILUSD	46	23	36.09	1.080	0.055	-13.44	3	666
mirage-liquidity-sweep-pro	1h	1000PEPEUSD	28	10	-135.55	0.572	-0.249	-165.31	2	250
dynamic-trend-bands-anchored-vwap-signals	1h	1000PEPEUSD	82	31	-196.27	0.786	-0.114	-335.73	3	250
dynamic-trend-bands-anchored-vwap-signals	4h	SOLUSD	59	33	25.93	1.056	0.038	-22.06	3	666
pulse-trend-radar	15m	EVAAUSD	276	132	-58.07	0.980	0.002	-464.63	3	125
dynamic-trend-bands-anchored-vwap-signals	1h	COOKIEUSD	56	25	3.62	1.006	0.021	-67.59	4	250
dynamic-trend-bands-anchored-vwap-signals	4h	UNIUSD	53	27	-14.94	0.971	-0.004	-56.66	3	666
dynamic-trend-bands-anchored-vwap-signals	4h	PIEVERSEUSD	16	6	-75.50	0.594	-0.233	-81.12	2	154
dynamic-trend-bands-anchored-vwap-signals	15m	AVAXUSD	107	56	-137.48	0.832	-0.057	-311.21	4	125
dynamic-trend-bands-anchored-vwap-signals	4h	ZECUSD	32	12	-172.42	0.480	-0.320	-180.72	1	352
dynamic-trend-bands-anchored-vwap-signals	4h	AKEUSD	4	2	-4.49	0.885	0.178	1.31	2	63
structure-anchored-vwap	15m	AAVEUSD	43	34	492.38	3.219	0.487	273.03	6	125
dynamic-trend-bands-anchored-vwap-signals	1h	AINUSD	73	36	-84.57	0.881	-0.052	-209.06	2	250
dynamic-trend-bands-anchored-vwap-signals	4h	ETHUSD	63	35	158.99	1.271	0.132	86.56	4	666
dynamic-trend-bands-anchored-vwap-signals	4h	AVAXUSD	49	20	-128.03	0.752	-0.128	-183.46	2	666
dynamic-trend-bands-anchored-vwap-signals	1h	BCHUSD	74	29	-350.16	0.483	-0.279	-441.49	2	250
dynamic-trend-bands-anchored-vwap-signals	4h	LINKUSD	49	21	-172.13	0.658	-0.188	-212.09	3	666
mirage-liquidity-sweep-pro	1h	COOKIEUSD	17	6	11.46	1.056	0.061	-66.09	3	250
dynamic-trend-bands-anchored-vwap-signals	4h	XRPUSD	50	16	-342.64	0.375	-0.411	-355.39	1	666
dynamic-trend-bands-anchored-vwap-signals	1h	VVVUSD	100	53	469.33	1.415	0.217	295.39	5	250
mirage-liquidity-sweep-pro	15m	XRPUSD	42	20	-164.70	0.592	-0.206	-313.77	4	125
dynamic-trend-bands-anchored-vwap-signals	15m	LINKUSD	99	54	216.61	1.197	0.117	-59.10	5	125
dynamic-trend-bands-anchored-vwap-signals	4h	DOGEUSD	52	22	-229.70	0.540	-0.252	-244.36	2	666
kinetic-momentum-vectors	15m	BTCUSD	47	23	-104.98	0.753	-0.108	-180.77	4	125
dynamic-trend-bands-anchored-vwap-signals	4h	SUIUSD	48	17	-111.83	0.807	-0.100	-151.14	1	666
kinetic-momentum-vectors	15m	FILUSD	82	39	-13.83	0.982	0.006	-166.14	3	125
dynamic-trend-bands-anchored-vwap-signals	4h	NEARUSD	49	24	-63.83	0.871	-0.053	-86.79	3	666
pulse-trend-radar	15m	SAGAUSD	256	120	-130.33	0.952	-0.015	-502.22	5	125
kinetic-momentum-vectors	15m	SOLUSD	76	36	-243.87	0.640	-0.179	-392.52	1	125
dynamic-trend-bands-anchored-vwap-signals	4h	AAVEUSD	57	26	-186.01	0.591	-0.202	-214.59	2	666
kinetic-momentum-vectors	15m	UNIUSD	96	45	-14.85	0.982	0.009	-299.57	3	125
dynamic-trend-bands-anchored-vwap-signals	4h	BNBUSD	65	37	236.06	1.397	0.188	100.00	4	666
kinetic-momentum-vectors	15m	PIEVERSEUSD	92	42	472.49	1.465	0.239	134.21	5	125
dynamic-trend-bands-anchored-vwap-signals	4h	ETCUSD	49	20	-121.83	0.792	-0.116	-141.98	2	666
dynamic-trend-bands-anchored-vwap-signals	15m	XRPUSD	86	44	-238.41	0.668	-0.149	-329.03	2	125
kinetic-momentum-vectors	15m	ZECUSD	90	41	-124.48	0.851	-0.060	-256.85	3	125
